word_index,word,seat,proposed_utc,receipt_utc,latency_s,propose_seq,receipt_seq
71,Ceremonial,D,2026-09-18T10:11:03Z,2026-09-18T10:20:05Z,542.3,155,156
72,worshippers,A,2026-09-18T10:20:18Z,2026-09-18T10:28:52Z,514.0,157,158
73,remain;,D,2026-09-18T10:28:55Z,2026-09-18T10:35:56Z,420.2,159,160
74,Mysteriously,A,2026-09-18T10:36:03Z,2026-09-18T10:42:39Z,395.7,161,162
75,uncertainty,D,2026-09-18T10:42:39Z,2026-09-18T10:48:59Z,379.9,163,164
76,flows.,A,2026-09-18T10:49:03Z,2026-09-18T10:54:17Z,314.2,165,166
77,Religious,D,2026-09-18T10:54:17Z,2026-09-18T10:59:34Z,316.5,167,168
78,ecstasy,A,2026-09-18T10:59:35Z,2026-09-18T11:07:18Z,463.4,169,170
79,intensifies;,C,2026-09-18T11:07:29Z,2026-09-18T11:12:06Z,277.0,171,172
80,Religiosity,A,2026-09-18T11:12:20Z,2026-09-18T11:20:15Z,475.0,173,174
81,solidifies.,D,2026-09-18T11:20:16Z,2026-09-18T11:25:52Z,336.0,175,176
